11, 13, 10, 19
11, 15, 9, 17
12, 17, 12, 17
14, 15, 11, 19
14, 17, 12, 20
11, 12, 9, 17
13, 19, 13, 20
12, 18, 11, 19
17, 21, 10, 19
15, 19, 12, 18
12, 18, 12, 20
16, 21, 15, 24
15, 21, 15, 23
14, 20, 17, 26
16, 22, 18, 26
19, 25, 18, 27
18, 27, 21, 28
22, 31, 23, 33
23, 32, 26, 34
23, 34, 25, 35
23, 36, 29, 39
29, 43, 36, 45
32, 48, 42, 51
36, 57, 47, 59
45, 65, 58, 66
49, 75, 70, 79
60, 91, 89, 99
83, 121, 120, 129
122, 165, 167, 188
208, 234, 255, 255
255, 255, 255, 255
255, 255, 255, 255
255, 255, 255, 255
255, 73, 200, 103
122, 18, 55, 37
44, 15, 21, 21
27, 13, 16, 19
24, 12, 13, 19
21, 11, 13, 18
22, 12, 11, 17
20, 11, 11, 16
21, 12, 12, 15
17, 7, 11, 14
16, 8, 11, 12
17, 10, 10, 13
17, 10, 9, 12
17, 8, 8, 14
