7, 3, 3, 6
7, 4, 5, 7
6, 1, 4, 7
10, 5, 5, 8
7, 2, 2, 5
11, 7, 5, 8
8, 5, 3, 7
5, 3, 3, 5
11, 5, 4, 8
8, 5, 2, 6
7, 4, 4, 8
8, 4, 4, 5
11, 5, 2, 6
6, 4, 4, 9
9, 3, 4, 9
10, 5, 3, 9
8, 6, 3, 6
9, 5, 1, 6
12, 5, 4, 10
9, 4, 3, 9
8, 5, 3, 5
9, 5, 2, 7
6, 2, 5, 9
9, 5, 5, 9
9, 5, 1, 8
10, 4, 4, 9
9, 5, 5, 9
9, 5, 4, 7
8, 2, 7, 12
10, 6, 5, 8
8, 5, 5, 8
13, 8, 2, 8
11, 5, 5, 11
9, 3, 3, 11
11, 6, 5, 14
18, 7, 4, 27
58, 15, 23, 109
255, 68, 223, 255
255, 212, 255, 255
255, 255, 255, 255
255, 219, 255, 168
175, 136, 155, 90
106, 85, 98, 50
68, 52, 66, 36
54, 36, 51, 32
47, 34, 42, 28
41, 29, 36, 25
