9, 3, 7, 8
11, 7, 5, 9
10, 5, 7, 6
8, 4, 9, 8
11, 8, 8, 9
12, 7, 5, 6
12, 6, 9, 10
11, 5, 6, 7
11, 6, 9, 10
11, 7, 9, 7
10, 6, 6, 7
10, 6, 9, 8
12, 9, 9, 10
9, 4, 8, 10
11, 6, 8, 8
13, 7, 6, 4
10, 7, 7, 5
11, 3, 10, 11
11, 6, 9, 7
11, 6, 10, 7
10, 5, 9, 8
11, 5, 9, 10
15, 11, 8, 9
17, 10, 12, 10
11, 5, 9, 9
12, 7, 9, 10
12, 7, 10, 9
14, 11, 11, 11
15, 10, 11, 9
16, 11, 13, 11
15, 10, 12, 9
15, 10, 14, 13
19, 12, 15, 12
16, 9, 16, 12
20, 13, 19, 12
20, 14, 20, 15
24, 16, 23, 17
25, 16, 27, 18
29, 17, 28, 21
32, 20, 35, 22
42, 25, 48, 27
53, 33, 61, 45
72, 45, 70, 59
81, 47, 63, 69
77, 40, 28, 62
52, 23, 7, 33
