9, 4, 3, 6
8, 3, 4, 9
9, 5, 4, 9
11, 4, 5, 5
8, 4, 5, 7
10, 5, 3, 9
8, 5, 3, 6
8, 3, 5, 8
14, 5, 4, 8
10, 3, 5, 7
8, 5, 4, 8
8, 5, 5, 7
12, 5, 3, 6
7, 2, 5, 7
12, 5, 4, 7
8, 2, 4, 6
12, 5, 4, 10
13, 5, 5, 9
9, 4, 3, 8
10, 3, 4, 9
11, 5, 5, 11
10, 5, 4, 7
11, 5, 5, 9
13, 4, 6, 10
10, 4, 6, 10
11, 4, 5, 7
13, 6, 7, 11
13, 4, 4, 10
13, 6, 6, 9
15, 6, 8, 10
13, 4, 6, 10
11, 5, 7, 11
12, 3, 8, 12
14, 6, 9, 12
14, 5, 11, 12
15, 10, 7, 13
16, 6, 8, 12
14, 6, 10, 12
17, 9, 11, 14
16, 7, 9, 15
20, 10, 11, 15
17, 10, 10, 15
16, 6, 12, 15
19, 10, 11, 15
22, 9, 18, 20
32, 12, 32, 26
