129, 94, 108, 125
129, 94, 107, 124
132, 99, 109, 126
133, 97, 107, 125
136, 101, 108, 127
138, 101, 108, 128
141, 106, 109, 129
141, 106, 114, 135
144, 109, 116, 137
145, 109, 116, 136
146, 112, 120, 140
151, 113, 125, 145
152, 112, 128, 148
156, 116, 129, 149
157, 118, 128, 150
160, 120, 130, 153
163, 120, 131, 153
164, 122, 132, 156
165, 123, 134, 159
168, 124, 137, 160
170, 126, 136, 161
169, 127, 139, 163
170, 126, 137, 162
174, 128, 139, 165
174, 127, 137, 163
172, 128, 136, 161
172, 127, 136, 162
171, 126, 137, 162
172, 126, 138, 166
173, 128, 142, 165
175, 128, 141, 165
175, 130, 143, 165
178, 132, 143, 166
179, 131, 148, 171
180, 134, 149, 169
185, 138, 152, 174
185, 139, 152, 175
188, 142, 158, 177
188, 143, 162, 185
194, 147, 163, 182
199, 151, 164, 185
199, 152, 170, 191
206, 157, 173, 194
209, 159, 175, 197
209, 159, 178, 199
213, 164, 184, 205
